record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
HVC-LAB-W20-DNS-SPOOF-BLOCKLIST-RESOLVER-790710EF,n/a,HVC-LAB-20-wave20-dns-spoof-blocklist-resolver,luminet-baseline-d73453f,daemon-labs,dns spoof blocklist resolver lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/dns_spoof_blocklist_resolver.go,790710efb126959b61d339ffc01c1204b71650b2355c3ba57191a555857a985a,DnsBlocklistConfig;DnsBlocklistResolver;DnsBlocklistResolver.ShouldBlock;DnsCacheEntry;DnsProxyHandler;DnsProxyHandler.ServeTCP;DnsSpoofChecker;DnsSpoofChecker.IsSpoofed;DnsSpoofChecker.RegisterUnexpectedSubnet;NewDnsBlocklistResolver,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/dns_spoof_blocklist_resolver.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-DNSTT-3FB22DC0,n/a,HVC-LAB-20-wave20-dnstt,luminet-baseline-d73453f,daemon-labs,dnstt lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/dnstt.go,3fb22dc06d1e6d2488706ddd59e282c941b56af16eac0649122ae1bd517e5bc8,DNSTT;DNSTT.StartTunnel;NewDNSTT,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/dnstt.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-DOH-WORKER-8DB85DFE,n/a,HVC-LAB-20-wave20-doh-worker,luminet-baseline-d73453f,daemon-labs,doh worker lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/doh_worker.go,8db85dfea6bb6d4c30a816a5cdeff8ada97708561a52b46ad12e0be59d9a0f1f,DoHWorker;DoHWorker.AddAllowedIP;DoHWorker.AddBlockedDomain;DoHWorker.ClearAllowedIPs;DoHWorker.ClearBlockedDomains;DoHWorker.Forward;DoHWorker.GetAllowedIPs;DoHWorker.GetAllowedIPsCount;DoHWorker.GetBlockedDomains;DoHWorker.GetBlockedDomainsCount;DoHWorker.GetCacheEnabled;DoHWorker.GetFailedQueries;DoHWorker.GetLogLevel;DoHWorker.GetTimeout;DoHWorker.GetTotalQueries;DoHWorker.GetUpstreamResolver;DoHWorker.GetVersion;DoHWorker.RemoveAllowedIP;DoHWorker.RemoveBlockedDomain;DoHWorker.SetAllowedIPs;DoHWorker.SetBlockedDomains;DoHWorker.SetCacheEnabled;DoHWorker.SetFailedQueries;DoHWorker.SetLogLevel;DoHWorker.SetTimeout;DoHWorker.SetTotalQueries;DoHWorker.SetUpstreamResolver;DoHWorker.SetVersion;NewDoHWorker,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/doh_worker.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-DOMAINFRONT-GAS-C5E49B3B,n/a,HVC-LAB-20-wave20-domainfront-gas,luminet-baseline-d73453f,daemon-labs,domainfront gas lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/domainfront_gas.go,c5e49b3b278dcbac775ea2179ad8205ca2664224737bed93ddd3d9e7f0ef5427,DomainFrontGAS;DomainFrontGAS.RedirectStreams;NewDomainFrontGAS,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/domainfront_gas.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-DUAL-PROXY-SERVER-645B0B74,n/a,HVC-LAB-20-wave20-dual-proxy-server,luminet-baseline-d73453f,daemon-labs,dual proxy server lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/dual_proxy_server.go,645b0b7494e7aa44d412e03290e2388246ed95b41ddf48a93a7df563176ddd3b,DualProxyServer;DualProxyServer.Start;DualProxyServer.Stop;NewDualProxyServer,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/dual_proxy_server.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,labs/daemon/proxy/dual_proxy_server_test.go,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-ECH-TUNNEL-DCFC8B6A,n/a,HVC-LAB-20-wave20-ech-tunnel,luminet-baseline-d73453f,daemon-labs,ech tunnel lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/ech_tunnel.go,dcfc8b6a1ee166c5e5e111bfaed840ea79bfe7ac5a3b5cc49dd203c5b05892ba,ECHTunnel;ECHTunnel.StartECH;NewECHTunnel,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/ech_tunnel.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-EDGE-AUTH-FE7DEEED,n/a,HVC-LAB-20-wave20-edge-auth,luminet-baseline-d73453f,daemon-labs,edge auth lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/edge_auth.go,fe7deeed0fc3c5051dd8dc3adcd63b6476fdd917b495255cbe7e49912d4b7c00,AutoTLSManager;AutoTLSManager.GetTLSConfig;NewAutoTLSManager;OIDCAuthHandler;OIDCAuthMiddleware;OIDCClaims;SanitizeRedirectURL;SignPayload;ValidateOIDCToken;VerifyPayloadSignature,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/edge_auth.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,labs/daemon/proxy/edge_auth_test.go,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-EDGE-CONTROL-PANEL-D29AA594,n/a,HVC-LAB-20-wave20-edge-control-panel,luminet-baseline-d73453f,daemon-labs,edge control panel lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/edge_control_panel.go,d29aa59453a7ba90a548ef89b3e9bada8bdb7e78d7f8feccb40fd168d9e895a7,ConfigProcessor;ConfigProcessor.AddRawNode;ConfigProcessor.AddSource;ConfigProcessor.ClearRawNodes;ConfigProcessor.GenerateClashMeta;ConfigProcessor.GetRawNodes;ConfigProcessor.GetRawNodesCount;ConfigProcessor.HasRawNode;ConfigProcessor.RemoveRawNode;ConfigProcessor.SetRawNodes;ConfigProcessor.ShuffleAndMerge;NewConfigProcessor,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/edge_control_panel.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-EDGE-TROJAN-GATEWAY-D0BD2663,n/a,HVC-LAB-20-wave20-edge-trojan-gateway,luminet-baseline-d73453f,daemon-labs,edge trojan gateway lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/edge_trojan_gateway.go,d0bd2663227d7a50d99cf33973f35b914e663784d2be427d09b930560be43b43,NahanGateway;NahanGateway.Deploy;NewNahanGateway,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/edge_trojan_gateway.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-EDGETUNNEL-B2333BEF,n/a,HVC-LAB-20-wave20-edgetunnel,luminet-baseline-d73453f,daemon-labs,edgetunnel lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/edgetunnel.go,b2333bef412311df5f39b94a5965f7cf0bb9ae60781ada16dca6bee5e7792ad8,EdgeTunnel;EdgeTunnel.AddAllowedDomain;EdgeTunnel.AddBlockedIP;EdgeTunnel.ClearAllowedDomains;EdgeTunnel.ClearBlockedIPs;EdgeTunnel.GenerateConfig;EdgeTunnel.GetAllowedDomains;EdgeTunnel.GetAllowedDomainsCount;EdgeTunnel.GetBlockedIPs;EdgeTunnel.GetBlockedIPsCount;EdgeTunnel.GetConnsCount;EdgeTunnel.GetFakeWeb;EdgeTunnel.GetLogLevel;EdgeTunnel.GetNetwork;EdgeTunnel.GetPort;EdgeTunnel.GetProxyIP;EdgeTunnel.GetSubPath;EdgeTunnel.GetTLS;EdgeTunnel.GetUDP;EdgeTunnel.GetUUID;EdgeTunnel.GetVersion;EdgeTunnel.RemoveAllowedDomain;EdgeTunnel.RemoveBlockedIP;EdgeTunnel.SetAllowedDomains;EdgeTunnel.SetBlockedIPs;EdgeTunnel.SetConnsCount;EdgeTunnel.SetFakeWeb;EdgeTunnel.SetLogLevel;EdgeTunnel.SetNetwork;EdgeTunnel.SetPort;EdgeTunnel.SetProxyIP;EdgeTunnel.SetSubPath;EdgeTunnel.SetTLS;EdgeTunnel.SetUDP;EdgeTunnel.SetUUID;EdgeTunnel.SetVersion;EdgeTunnel.ShouldIntercept;NewEdgeTunnel,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/edgetunnel.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-ENS-RESOLVER-534CDAED,n/a,HVC-LAB-20-wave20-ens-resolver,luminet-baseline-d73453f,daemon-labs,ens resolver lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/ens_resolver.go,534cdaedb2f29d72e87f7f5c39fa762469bdc76f7dd0f0424e8f337881d97b6b,ResolveENS,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/ens_resolver.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,labs/daemon/proxy/ens_resolver_test.go,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-ENV-DRIFT-286644A2,n/a,HVC-LAB-20-wave20-env-drift,luminet-baseline-d73453f,daemon-labs,env drift lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/env_drift.go,286644a204775c18f6be1b236d8ba249dad385b7856d5900c2ed51921c2d0817,EnvDrift;EnvDrift.CaptureBaseline;EnvDrift.Detect;EnvDrift.Digest;EnvDrift.DriftCount;NewEnvDrift,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/env_drift.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-ENVOY-PROXY-558ECA5D,n/a,HVC-LAB-20-wave20-envoy-proxy,luminet-baseline-d73453f,daemon-labs,envoy proxy lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/envoy_proxy.go,558eca5df003b9c86ed63ceba050fc9013aee3217306708edeefe7e02f6bf74f,EnvoyProxy;EnvoyProxy.Configure;EnvoyProxy.GenerateConfig;EnvoyProxy.StartEnvoy;EnvoyProxy.StopEnvoy;NewEnvoyProxy,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/envoy_proxy.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-FALLBACK-DNS-POOL-68A86E80,n/a,HVC-LAB-20-wave20-fallback-dns-pool,luminet-baseline-d73453f,daemon-labs,fallback dns pool lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/fallback_dns_pool.go,68a86e80d49e943c91b5e20cbe3ab8f889403abb7495d28709ee7fc505aca199,FallbackDNSPool;FallbackDNSPool.GetResolvers;NewFallbackDNSPool,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/fallback_dns_pool.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-FEC-CODEC-08557C25,n/a,HVC-LAB-20-wave20-fec-codec,luminet-baseline-d73453f,daemon-labs,fec codec lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/fec_codec.go,08557c257d441b7d3a0abdf0907998374274aa1edb9e4bd26c950ec7cd3c0653,FECCodec;FECCodec.Decode;FECCodec.Encode;NewFECCodec,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/fec_codec.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,labs/daemon/proxy/fec_codec_test.go,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-FIREWALLA-D0CA055E,n/a,HVC-LAB-20-wave20-firewalla,luminet-baseline-d73453f,daemon-labs,firewalla lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/firewalla.go,d0ca055e73b01e992576531fc6dd19fad8d6a8cf763f9fd8a67c761e4b863e47,Firewalla;Firewalla.ControlLifecycle;NewFirewalla,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/firewalla.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-FORCERUN-7179B3B2,n/a,HVC-LAB-20-wave20-forcerun,luminet-baseline-d73453f,daemon-labs,forcerun lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/forcerun.go,7179b3b2fe9f1eecc5fce3e729340d61b4ea5041a2a61e1ca1d8a239d5ec1b23,ForcerunPipeline;ForcerunPipeline.GetActiveConns;ForcerunPipeline.GetAllowedIPs;ForcerunPipeline.GetBypassDomains;ForcerunPipeline.GetCacheEnabled;ForcerunPipeline.GetLogLevel;ForcerunPipeline.GetMaxConnsLimit;ForcerunPipeline.GetPipelineLogs;ForcerunPipeline.GetSources;ForcerunPipeline.GetTimeout;ForcerunPipeline.GetVersion;ForcerunPipeline.PublishHandler;ForcerunPipeline.ScrapeAndEncode;ForcerunPipeline.SetActiveConns;ForcerunPipeline.SetAllowedIPs;ForcerunPipeline.SetBypassDomains;ForcerunPipeline.SetCacheEnabled;ForcerunPipeline.SetLogLevel;ForcerunPipeline.SetMaxConnsLimit;ForcerunPipeline.SetPipelineLogs;ForcerunPipeline.SetSources;ForcerunPipeline.SetTimeout;ForcerunPipeline.SetVersion;NewForcerunPipeline,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/forcerun.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-FORMAT-TRANSFORM-PROXY-7D74F602,n/a,HVC-LAB-20-wave20-format-transform-proxy,luminet-baseline-d73453f,daemon-labs,format transform proxy lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/format_transform_proxy.go,7d74f6023a14bc95c735cbd9d5c249d7e1ca2b0779d959a8972a7071e9dcc8ef,FTEProxy;FTEProxy.Transform;NewFTEProxy,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/format_transform_proxy.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-FORMAT-TRANSFORMER-1F66B9AC,n/a,HVC-LAB-20-wave20-format-transformer,luminet-baseline-d73453f,daemon-labs,format transformer lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/format_transformer.go,1f66b9ac21b3fe4d5c7c4f14a61a6a091a3267de743f845c7f1525c0230bfb28,DFAState;FormatTransformer;FormatTransformer.AddState;FormatTransformer.Decode;FormatTransformer.Encode;NewAlphanumericTransformer;NewFormatTransformer;NewHttpGetRequestTransformer;Transition,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/format_transformer.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,labs/daemon/proxy/format_transformer_test.go,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-FPTN-CODEC-C4398F07,n/a,HVC-LAB-20-wave20-fptn-codec,luminet-baseline-d73453f,daemon-labs,fptn codec lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/fptn_codec.go,c4398f07333bc9a99276a3ced0366e11d4dc6a6fe9238aa33858f4c2b8914052,FPTNMessage;FPTNMessageType;FPTNMsgBatchPacket;FPTNMsgError;FPTNMsgIPAssignment;FPTNMsgIPPacket;FPTNPacketCodec;FPTNPacketCodec.Decode;FPTNPacketCodec.Encode;NewFPTNPacketCodec,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/fptn_codec.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,labs/daemon/proxy/fptn_codec_test.go,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-FREENET-FB203404,n/a,HVC-LAB-20-wave20-freenet,luminet-baseline-d73453f,daemon-labs,freenet lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/freenet.go,fb203404557c1b529a8b23e3f244c5857a92e0c0a3668854b9bb602dbeea9ffa,DHTNode;DHTRouter;DHTRouter.AddNode;DHTRouter.CalculateAverageDistance;DHTRouter.CalculateJitterOffset;DHTRouter.ClearDHTRouter;DHTRouter.ClearNodes;DHTRouter.DeleteNode;DHTRouter.ExportRingJSON;DHTRouter.FindClosestNode;DHTRouter.GetNode;DHTRouter.GetNodeCount;DHTRouter.GetNodeLocation;DHTRouter.GetNodes;DHTRouter.GetRingMap;DHTRouter.ImportRingJSON;DHTRouter.LocateSector;DHTRouter.NodeCount;DHTRouter.RemoveNode;DHTRouter.RouteKey;DHTRouter.SetNodeLocation;DHTRouter.VerifyNodeLocation;Freenet;Freenet.FetchKey;Freenet.GetGatewayURL;Freenet.GetTimeout;Freenet.InitCore;Freenet.InsertKey;Freenet.SetGatewayURL;Freenet.SetTimeout;NewDHTRouter;NewFreenet,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/freenet.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
HVC-LAB-W20-FREENET-AGENT-RUNNER-78CC5DAF,n/a,HVC-LAB-20-wave20-freenet-agent-runner,luminet-baseline-d73453f,daemon-labs,freenet agent runner lab capability,standalone source unit,executable-behaviour/reference implementation,standalone,server/internal/proxy/freenet_agent_runner.go,78cc5daff5c891ed0ff1f14d8fc437973e4235b7acca1a38e74d3027714855f0,FreenetAgentRunner;FreenetAgentRunner.Run;NewFreenetAgentRunner,promotion to governed lab,one-to-one,reference-only,"The source carries distinct dormant implementation value but has no live production consumer. Preserve it as an intentional, catalogued lab capability without granting runtime authority; later promotion must extract only target-native value behind a canonical owner.",daemon lab capability corpus,labs/daemon/proxy/freenet_agent_runner.go,The lab source remains byte-identical to its baseline object and traceable by SHA-256.,Live daemon internal packages must not import lab code directly or treat lab presence as production readiness.,n/a,labs/daemon/CAPABILITIES.csv,Path-only promotion from experiments to labs; no live runtime dependency or persisted state change.,Repository-native baseline source; no new external donor bytes introduced.,medium,n/a,high,statically-validated
